Number of rows:,1000000,Test Environment:,
Query,ClickHouse version,ClickHouse Query Runtime,ClickHouse Query Description,ClickHouse sample 0,ClickHouse sample 1,ClickHouse sample 2,Query DuckDB,DuckDB version,DuckDB Query Runtime,DuckDB Query Description,DuckDB sample 0,DuckDB sample 1,DuckDB sample 2
query_0,23.7.4.5,0.052056074142456055,SELECT COUNT(*) FROM file(hits_parquet_17afc1c2_4c0f_11ee_842a_5b138485397c.parquet);,0.056569814682006836,0.03351116180419922,0.052056074142456055,query_0,0.8.1,0.016288042068481445,SELECT COUNT(*) FROM '/data1/hits_parquet_17afc1c2_4c0f_11ee_842a_5b138485397c.parquet';,0.5287184715270996,0.014582633972167969,0.016288042068481445
query_1,23.7.4.5,0.03319191932678223,SELECT COUNT(*) FROM file(hits_parquet_17afc1c2_4c0f_11ee_842a_5b138485397c.parquet) WHERE AdvEngineID <> 0;,0.03811287879943848,0.033563852310180664,0.03319191932678223,query_1,0.8.1,0.016739368438720703,SELECT COUNT(*) FROM '/data1/hits_parquet_17afc1c2_4c0f_11ee_842a_5b138485397c.parquet' WHERE AdvEngineID <> 0;,0.01799154281616211,0.01613450050354004,0.016739368438720703
query_2,23.7.4.5,0.12380552291870117,"SELECT SUM(AdvEngineID), COUNT(*), AVG(ResolutionWidth) FROM file(hits_parquet_17afc1c2_4c0f_11ee_842a_5b138485397c.parquet);",0.037915706634521484,0.03720498085021973,0.12380552291870117,query_2,0.8.1,0.018922090530395508,"SELECT SUM(AdvEngineID), COUNT(*), AVG(ResolutionWidth) FROM '/data1/hits_parquet_17afc1c2_4c0f_11ee_842a_5b138485397c.parquet';",0.019678831100463867,0.018316268920898438,0.018922090530395508
query_3,23.7.4.5,0.034035444259643555,SELECT AVG(UserID) FROM file(hits_parquet_17afc1c2_4c0f_11ee_842a_5b138485397c.parquet);,0.036998748779296875,0.0349125862121582,0.034035444259643555,query_3,0.8.1,0.019263029098510742,SELECT AVG(UserID) FROM '/data1/hits_parquet_17afc1c2_4c0f_11ee_842a_5b138485397c.parquet';,0.02058267593383789,0.025530338287353516,0.019263029098510742
query_4,23.7.4.5,0.040505170822143555,SELECT COUNT(DISTINCT UserID) FROM file(hits_parquet_17afc1c2_4c0f_11ee_842a_5b138485397c.parquet);,0.042459726333618164,0.0433652400970459,0.040505170822143555,query_4,0.8.1,0.047977447509765625,SELECT COUNT(DISTINCT UserID) FROM '/data1/hits_parquet_17afc1c2_4c0f_11ee_842a_5b138485397c.parquet';,0.05225181579589844,0.048752784729003906,0.047977447509765625
query_5,23.7.4.5,0.052466630935668945,SELECT COUNT(DISTINCT SearchPhrase) FROM file(hits_parquet_17afc1c2_4c0f_11ee_842a_5b138485397c.parquet);,0.0546727180480957,0.05047130584716797,0.052466630935668945,query_5,0.8.1,0.05693697929382324,SELECT COUNT(DISTINCT SearchPhrase) FROM '/data1/hits_parquet_17afc1c2_4c0f_11ee_842a_5b138485397c.parquet';,0.06773209571838379,0.05736684799194336,0.05693697929382324
query_6,23.7.4.5,0.033777475357055664,"SELECT MIN(EventDate), MAX(EventDate) FROM file(hits_parquet_17afc1c2_4c0f_11ee_842a_5b138485397c.parquet);",0.03910231590270996,0.04039812088012695,0.033777475357055664,query_6,0.8.1,0.017146587371826172,"SELECT MIN(EventDate), MAX(EventDate) FROM '/data1/hits_parquet_17afc1c2_4c0f_11ee_842a_5b138485397c.parquet';",0.02592921257019043,0.017093896865844727,0.017146587371826172
query_7,23.7.4.5,0.035652875900268555,"SELECT AdvEngineID, COUNT(*) FROM file(hits_parquet_17afc1c2_4c0f_11ee_842a_5b138485397c.parquet) WHERE AdvEngineID <> 0 GROUP BY AdvEngineID ORDER BY COUNT(*) DESC;",0.03557085990905762,0.03598976135253906,0.035652875900268555,query_7,0.8.1,0.01847076416015625,"SELECT AdvEngineID, COUNT(*) FROM '/data1/hits_parquet_17afc1c2_4c0f_11ee_842a_5b138485397c.parquet' WHERE AdvEngineID <> 0 GROUP BY AdvEngineID ORDER BY COUNT(*) DESC;",0.017717599868774414,0.01798558235168457,0.01847076416015625
query_8,23.7.4.5,0.04627704620361328,"SELECT RegionID, COUNT(DISTINCT UserID) AS u FROM file(hits_parquet_17afc1c2_4c0f_11ee_842a_5b138485397c.parquet) GROUP BY RegionID ORDER BY u DESC LIMIT 10;",0.04700636863708496,0.04603981971740723,0.04627704620361328,query_8,0.8.1,0.05895113945007324,"SELECT RegionID, COUNT(DISTINCT UserID) AS u FROM '/data1/hits_parquet_17afc1c2_4c0f_11ee_842a_5b138485397c.parquet' GROUP BY RegionID ORDER BY u DESC LIMIT 10;",0.0583648681640625,0.05600595474243164,0.05895113945007324
query_9,23.7.4.5,0.047576189041137695,"SELECT RegionID, SUM(AdvEngineID), COUNT(*) AS c, AVG(ResolutionWidth), COUNT(DISTINCT UserID) FROM file(hits_parquet_17afc1c2_4c0f_11ee_842a_5b138485397c.parquet) GROUP BY RegionID ORDER BY c DESC LIMIT 10;",0.15950441360473633,0.04766440391540527,0.047576189041137695,query_9,0.8.1,0.06959009170532227,"SELECT RegionID, SUM(AdvEngineID), COUNT(*) AS c, AVG(ResolutionWidth), COUNT(DISTINCT UserID) FROM '/data1/hits_parquet_17afc1c2_4c0f_11ee_842a_5b138485397c.parquet' GROUP BY RegionID ORDER BY c DESC LIMIT 10;",0.07883691787719727,0.06985735893249512,0.06959009170532227
query_10,23.7.4.5,0.041487693786621094,"SELECT MobilePhoneModel, COUNT(DISTINCT UserID) AS u FROM file(hits_parquet_17afc1c2_4c0f_11ee_842a_5b138485397c.parquet) WHERE MobilePhoneModel <> '' GROUP BY MobilePhoneModel ORDER BY u DESC LIMIT 10;",0.04106760025024414,0.04201507568359375,0.041487693786621094,query_10,0.8.1,0.02880692481994629,"SELECT MobilePhoneModel, COUNT(DISTINCT UserID) AS u FROM '/data1/hits_parquet_17afc1c2_4c0f_11ee_842a_5b138485397c.parquet' WHERE MobilePhoneModel <> '' GROUP BY MobilePhoneModel ORDER BY u DESC LIMIT 10;",0.03774857521057129,0.03223228454589844,0.02880692481994629
query_11,23.7.4.5,0.04490828514099121,"SELECT MobilePhone, MobilePhoneModel, COUNT(DISTINCT UserID) AS u FROM file(hits_parquet_17afc1c2_4c0f_11ee_842a_5b138485397c.parquet) WHERE MobilePhoneModel <> '' GROUP BY MobilePhone, MobilePhoneModel ORDER BY u DESC LIMIT 10;",0.040616750717163086,0.040685176849365234,0.04490828514099121,query_11,0.8.1,0.03112316131591797,"SELECT MobilePhone, MobilePhoneModel, COUNT(DISTINCT UserID) AS u FROM '/data1/hits_parquet_17afc1c2_4c0f_11ee_842a_5b138485397c.parquet' WHERE MobilePhoneModel <> '' GROUP BY MobilePhone, MobilePhoneModel ORDER BY u DESC LIMIT 10;",0.03368330001831055,0.030757665634155273,0.03112316131591797
query_12,23.7.4.5,0.059825897216796875,"SELECT SearchPhrase, COUNT(*) AS c FROM file(hits_parquet_17afc1c2_4c0f_11ee_842a_5b138485397c.parquet) WHERE SearchPhrase <> '' GROUP BY SearchPhrase ORDER BY c DESC LIMIT 10;",0.0657651424407959,0.05560612678527832,0.059825897216796875,query_12,0.8.1,0.05517697334289551,"SELECT SearchPhrase, COUNT(*) AS c FROM '/data1/hits_parquet_17afc1c2_4c0f_11ee_842a_5b138485397c.parquet' WHERE SearchPhrase <> '' GROUP BY SearchPhrase ORDER BY c DESC LIMIT 10;",0.05832791328430176,0.05554819107055664,0.05517697334289551
query_13,23.7.4.5,0.07232809066772461,"SELECT SearchPhrase, COUNT(DISTINCT UserID) AS u FROM file(hits_parquet_17afc1c2_4c0f_11ee_842a_5b138485397c.parquet) WHERE SearchPhrase <> '' GROUP BY SearchPhrase ORDER BY u DESC LIMIT 10;",0.06596827507019043,0.08336687088012695,0.07232809066772461,query_13,0.8.1,0.07606792449951172,"SELECT SearchPhrase, COUNT(DISTINCT UserID) AS u FROM '/data1/hits_parquet_17afc1c2_4c0f_11ee_842a_5b138485397c.parquet' WHERE SearchPhrase <> '' GROUP BY SearchPhrase ORDER BY u DESC LIMIT 10;",0.08614993095397949,0.07867169380187988,0.07606792449951172
query_14,23.7.4.5,0.053994178771972656,"SELECT SearchEngineID, SearchPhrase, COUNT(*) AS c FROM file(hits_parquet_17afc1c2_4c0f_11ee_842a_5b138485397c.parquet) WHERE SearchPhrase <> '' GROUP BY SearchEngineID, SearchPhrase ORDER BY c DESC LIMIT 10;",0.06745696067810059,0.06003975868225098,0.053994178771972656,query_14,0.8.1,0.061745405197143555,"SELECT SearchEngineID, SearchPhrase, COUNT(*) AS c FROM '/data1/hits_parquet_17afc1c2_4c0f_11ee_842a_5b138485397c.parquet' WHERE SearchPhrase <> '' GROUP BY SearchEngineID, SearchPhrase ORDER BY c DESC LIMIT 10;",0.11070656776428223,0.05975151062011719,0.061745405197143555
query_15,23.7.4.5,0.042017221450805664,"SELECT UserID, COUNT(*) FROM file(hits_parquet_17afc1c2_4c0f_11ee_842a_5b138485397c.parquet) GROUP BY UserID ORDER BY COUNT(*) DESC LIMIT 10;",0.05097079277038574,0.03928542137145996,0.042017221450805664,query_15,0.8.1,0.05485177040100098,"SELECT UserID, COUNT(*) FROM '/data1/hits_parquet_17afc1c2_4c0f_11ee_842a_5b138485397c.parquet' GROUP BY UserID ORDER BY COUNT(*) DESC LIMIT 10;",0.06412243843078613,0.05484485626220703,0.05485177040100098
query_16,23.7.4.5,0.09994697570800781,"SELECT UserID, SearchPhrase, COUNT(*) FROM file(hits_parquet_17afc1c2_4c0f_11ee_842a_5b138485397c.parquet) GROUP BY UserID, SearchPhrase ORDER BY COUNT(*) DESC LIMIT 10;",0.09423995018005371,0.05744481086730957,0.09994697570800781,query_16,0.8.1,0.09727692604064941,"SELECT UserID, SearchPhrase, COUNT(*) FROM '/data1/hits_parquet_17afc1c2_4c0f_11ee_842a_5b138485397c.parquet' GROUP BY UserID, SearchPhrase ORDER BY COUNT(*) DESC LIMIT 10;",0.10310983657836914,0.09782171249389648,0.09727692604064941
query_17,23.7.4.5,0.054021358489990234,"SELECT UserID, SearchPhrase, COUNT(*) FROM file(hits_parquet_17afc1c2_4c0f_11ee_842a_5b138485397c.parquet) GROUP BY UserID, SearchPhrase LIMIT 10;",0.05402374267578125,0.05390620231628418,0.054021358489990234,query_17,0.8.1,0.08455348014831543,"SELECT UserID, SearchPhrase, COUNT(*) FROM '/data1/hits_parquet_17afc1c2_4c0f_11ee_842a_5b138485397c.parquet' GROUP BY UserID, SearchPhrase LIMIT 10;",0.09363293647766113,0.08730125427246094,0.08455348014831543
query_19,23.7.4.5,0.03435254096984863,SELECT UserID FROM file(hits_parquet_17afc1c2_4c0f_11ee_842a_5b138485397c.parquet) WHERE UserID = 435090932899640449;,0.03308749198913574,0.03516221046447754,0.03435254096984863,query_19,0.8.1,0.07075238227844238,SELECT UserID FROM '/data1/hits_parquet_17afc1c2_4c0f_11ee_842a_5b138485397c.parquet' WHERE UserID = 435090932899640449;,0.0289304256439209,0.022376537322998047,0.07075238227844238
